paths,label
../Dataset/CIFAR-10-images/train/ship/2723.jpg,ship
../Dataset/CIFAR-10-images/train/bird/1795.jpg,bird
../Dataset/CIFAR-10-images/train/bird/1597.jpg,bird
../Dataset/CIFAR-10-images/train/automobile/0717.jpg,automobile
../Dataset/CIFAR-10-images/train/deer/0548.jpg,deer
../Dataset/CIFAR-10-images/train/dog/1550.jpg,dog
../Dataset/CIFAR-10-images/train/cat/0229.jpg,cat
../Dataset/CIFAR-10-images/train/dog/1046.jpg,dog
../Dataset/CIFAR-10-images/train/airplane/0607.jpg,airplane
../Dataset/CIFAR-10-images/train/cat/4032.jpg,cat
../Dataset/CIFAR-10-images/train/dog/3893.jpg,dog
../Dataset/CIFAR-10-images/train/frog/3856.jpg,frog
../Dataset/CIFAR-10-images/train/ship/3193.jpg,ship
../Dataset/CIFAR-10-images/train/deer/2612.jpg,deer
../Dataset/CIFAR-10-images/train/cat/2434.jpg,cat
../Dataset/CIFAR-10-images/train/dog/2428.jpg,dog
../Dataset/CIFAR-10-images/train/cat/4626.jpg,cat
../Dataset/CIFAR-10-images/train/bird/3875.jpg,bird
../Dataset/CIFAR-10-images/train/cat/3726.jpg,cat
../Dataset/CIFAR-10-images/train/frog/2529.jpg,frog
../Dataset/CIFAR-10-images/train/deer/0997.jpg,deer
../Dataset/CIFAR-10-images/train/horse/4874.jpg,horse
../Dataset/CIFAR-10-images/train/dog/0886.jpg,dog
../Dataset/CIFAR-10-images/train/airplane/0413.jpg,airplane
../Dataset/CIFAR-10-images/train/bird/4980.jpg,bird
../Dataset/CIFAR-10-images/train/cat/2155.jpg,cat
../Dataset/CIFAR-10-images/train/ship/2575.jpg,ship
../Dataset/CIFAR-10-images/train/bird/2125.jpg,bird
../Dataset/CIFAR-10-images/train/horse/0703.jpg,horse
../Dataset/CIFAR-10-images/train/airplane/4018.jpg,airplane
../Dataset/CIFAR-10-images/train/cat/1107.jpg,cat
../Dataset/CIFAR-10-images/train/cat/0233.jpg,cat
../Dataset/CIFAR-10-images/train/horse/3441.jpg,horse
../Dataset/CIFAR-10-images/train/airplane/2247.jpg,airplane
../Dataset/CIFAR-10-images/train/horse/1277.jpg,horse
../Dataset/CIFAR-10-images/train/deer/2573.jpg,deer
../Dataset/CIFAR-10-images/train/deer/4421.jpg,deer
../Dataset/CIFAR-10-images/train/cat/4895.jpg,cat
../Dataset/CIFAR-10-images/train/deer/4946.jpg,deer
../Dataset/CIFAR-10-images/train/deer/1437.jpg,deer
../Dataset/CIFAR-10-images/train/truck/3147.jpg,truck
../Dataset/CIFAR-10-images/train/automobile/0183.jpg,automobile
../Dataset/CIFAR-10-images/train/airplane/1594.jpg,airplane
../Dataset/CIFAR-10-images/train/automobile/1225.jpg,automobile
