paths,label
../Dataset/CIFAR-10-images/train/airplane/3961.jpg,airplane
../Dataset/CIFAR-10-images/train/deer/2054.jpg,deer
../Dataset/CIFAR-10-images/train/frog/3069.jpg,frog
../Dataset/CIFAR-10-images/train/deer/0098.jpg,deer
../Dataset/CIFAR-10-images/train/cat/0446.jpg,cat
../Dataset/CIFAR-10-images/train/dog/3405.jpg,dog
../Dataset/CIFAR-10-images/train/frog/3977.jpg,frog
../Dataset/CIFAR-10-images/train/dog/0616.jpg,dog
../Dataset/CIFAR-10-images/train/airplane/3808.jpg,airplane
../Dataset/CIFAR-10-images/train/airplane/4384.jpg,airplane
../Dataset/CIFAR-10-images/train/truck/0376.jpg,truck
../Dataset/CIFAR-10-images/train/deer/1299.jpg,deer
../Dataset/CIFAR-10-images/train/frog/1103.jpg,frog
../Dataset/CIFAR-10-images/train/horse/0994.jpg,horse
../Dataset/CIFAR-10-images/train/bird/3084.jpg,bird
../Dataset/CIFAR-10-images/train/ship/0129.jpg,ship
../Dataset/CIFAR-10-images/train/cat/2442.jpg,cat
../Dataset/CIFAR-10-images/train/frog/3928.jpg,frog
../Dataset/CIFAR-10-images/train/airplane/3066.jpg,airplane
../Dataset/CIFAR-10-images/train/bird/4162.jpg,bird
../Dataset/CIFAR-10-images/train/automobile/4364.jpg,automobile
../Dataset/CIFAR-10-images/train/frog/0299.jpg,frog
../Dataset/CIFAR-10-images/train/dog/0986.jpg,dog
../Dataset/CIFAR-10-images/train/automobile/4324.jpg,automobile
../Dataset/CIFAR-10-images/train/frog/3343.jpg,frog
../Dataset/CIFAR-10-images/train/truck/0781.jpg,truck
../Dataset/CIFAR-10-images/train/automobile/3857.jpg,automobile
../Dataset/CIFAR-10-images/train/cat/4151.jpg,cat
../Dataset/CIFAR-10-images/train/ship/4112.jpg,ship
../Dataset/CIFAR-10-images/train/dog/0335.jpg,dog
../Dataset/CIFAR-10-images/train/horse/0604.jpg,horse
../Dataset/CIFAR-10-images/train/bird/4778.jpg,bird
../Dataset/CIFAR-10-images/train/cat/4653.jpg,cat
../Dataset/CIFAR-10-images/train/frog/1318.jpg,frog
../Dataset/CIFAR-10-images/train/dog/1300.jpg,dog
